en,kin,phrase,categ,verified,prefs,prefpl,sanotek,sanopl,cumbi,modif,kinSing,kinPl,enSing,enPl,simplP,pastP,syn,context,situation,author,revised,updated
quickly,bwangu,0,adverb,1,,,,,bwangu,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,6000,0,1000000
be quiet,guceceka,0,verb,1,,,,,ceceka,cecetse,NOT APPLICABLE,NOT APPLICABLE,,,was quiet,been quiet,"stop talking,silent",,,6000,0,1000000
a quiet environment,ahantu hatuje,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
revolution,(political) impinduramatwara; ukuzenguruka (revolv,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I am sad.,narakaye; ndababaye.; mfite agahinda,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
sadness,"akababaro, agahinda",0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
sailor,umusare,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
What did you say?,Wavuze ngo iki?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
What will I say?,Nzavuge iki?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Do not say it!,Ntuzabivuge!,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
10 seconds,amasegonda 10,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
the second house,inzu ya kabiri,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Did you see him?,Wamubonye?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
myself,njye ubwanjye,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
send me that money.,nyoherereza ya mafaranga.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I have sent the book.,Nohereje cya gitabo.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
a serious problem,ikibazo gikomeye,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
to have sex,kurongorana,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
fuck (to f...),guswera,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Shut up!,Ceceka!,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
shy,umunyabwoba,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
slowly,buhoro,0,adverb,1,,,,,buhoro,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,6000,0,1000000
a small child,umwana muto,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
a small house,inzu nto,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
small books,ibitabo bito,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Do you smoke?,Unywa itabi? [Utumuraho?],0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
the smoke,umwotsi,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
a good song,indirimbo nziza,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
a bad song,indirimbo mbi,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Take that bottle.,Fata iryo cupa.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I am tired,Ndananiwe,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
we are tired,turananiwe,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Do not touch!,Ntukoreho!,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
a true story,inkuru nyayo,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
under the table,munsi y'ameza,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
under the tree,munsi y'igiti,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
stand up!,haguruka,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
ghost,umuzimu (pl.= abazimu),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
hymn,indirimbo,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
illness,indwara :: indwara,0,noun,1,i,i,n,n,rwara,,indwara,indwara,illness,sickness,,,,,,6000,0,1000000
I am ill,ndarwaye,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
leader,umuyobozi (pl.= abayobozi),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I need you,ndagukeneye,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
What do you need?,Mukeneye iki?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
the needy,abatishoboye,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
squirt,kunyaza,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
penis,imboro,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
vagina,igituba,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
pussy,igituba (**rude for some people),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
fine!,ni byiza!,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
When will you come?,Uzaza ryari?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
When did you come?,Waje ryari?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Tell me when you will come.,Mbwira igihe uzazira.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I don't know when he was born.,Sinzi igihe yavukiye.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I don't know!,Sinzi!,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
I don't know you.,Sinkuzi.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
Where do you live?,Muba he?,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
fuck,guswera,0,verb,1,,,,,swera,sweye,NOT APPLICABLE,NOT APPLICABLE,,,fucked,fucked,have sex,,,6000,0,1000000
break,ikiruhuko (N.),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
to break,kuvuga,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
My stick is broken (---break--,inkoni yanjye yavunitse.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
climb,kurira,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
shit,amabyi; amaheru;umwanda;,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
joke,urwenya,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
stir,gukoroga,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
banana,umuneke (pl.= imineke),0,food,1,,,,,,,,,,,,,,,,6000,0,1000000
homework,umukoro,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
lunch,ifunguro ry'amanywa,0,food,1,,,,,,,,,,,,,,,,6000,0,1000000
computer,mudasobwa,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
write,kwandika,0,verb,1,,,,,andika,anditse,NOT APPLICABLE,NOT APPLICABLE,,,wrote,written,,,,6000,0,1000000
"to be widened, made wider",kwaguka,0,general,1,,,kw,,aguka,#NAME?,,,,,,,,,,6000,0,1000000
"to widen, make wider",kwagura,0,general,1,,,kw,,agura,#NAME?,,,,,,,,,,6000,0,1000000
to go to pasture,kwahuka,0,general,1,,,kw,,ahuka,#NAME?,,,,,,,,,,6000,0,1000000
"to be separated, divorced",kwahukana,0,general,1,,,kw,,ahukana,#NAME?,,,,,,,,,,6000,0,1000000
to herd to pasture (cattle),kwahura,0,general,1,,,kw,,ahura,#NAME?,,,,,,,,,,6000,0,1000000
be burning,kwaka,0,verb,1,,,kw,,aka,atse,,,,,was burning,been burning,,,,6000,0,1000000
"to receive, welcome, accept, t",kwakira,0,general,1,,,kw,,akira,#NAME?,,,,,,,,,,6000,0,1000000
"to spread everywhere, become k",kwamamara,0,general,1,,,kw,,amamara,#NAME?,,,,,,,,,,6000,0,1000000
advertise,kwamamaza,0,general,1,,,kw,,amamaza,amamaje,,,,,advertised,advertised,publish,,,6000,0,1000000
to wear,kwambara,0,general,1,,,kw,,ambara,#NAME?,,,,,,,,,,6000,0,1000000
to be worn,kwambarwa,0,general,1,,,kw,,ambarwa,#NAME?,,,,,,,,,,6000,0,1000000
"to pray, petition, call upon, ",kwambaza,0,general,1,,,kw,,ambaza,#NAME?,,,,,,,,,,6000,0,1000000
"to clothe, dress someone else",kwambika,0,general,1,,,kw,,ambika,#NAME?,,,,,,,,,,6000,0,1000000
to cross body of water or land,kwambuka,0,general,1,,,kw,,ambuka,#NAME?,,,,,,,,,,6000,0,1000000
to refuse to payback what you ,kwambura,0,general,1,,,kw,,ambura,#NAME?,,,,,,,,,,6000,0,1000000
to leave something in the wron,kwandarika,0,general,1,,,kw,,andarika,#NAME?,,,,,,,,,,6000,0,1000000
to write,kwandika,0,general,1,,,kw,,andika,#NAME?,,,,,,,,,,6000,0,1000000
"to write to, write for, write ",kwandikira,0,general,1,,,kw,,andikira,#NAME?,,,,,,,,,,6000,0,1000000
"to be written to, written for,",kwandikirwa,0,general,1,,,kw,,andikirwa,#NAME?,,,,,,,,,,6000,0,1000000
to register,kwandikisha,0,general,1,,,kw,,andikisha,#NAME?,,,,,,,,,,6000,0,1000000
to be registered,kwandikishwa,0,general,1,,,kw,,andikishwa,#NAME?,,,,,,,,,,6000,0,1000000
to be written,kwandikwa,0,general,1,,,kw,,andikwa,#NAME?,,,,,,,,,,6000,0,1000000
"to hate each other, dislike ea",kwangana,0,general,1,,,kw,,angana,#NAME?,,,,,,,,,,6000,0,1000000
"to resist, refuse to",kwangira,0,general,1,,,kw,,angira,#NAME?,,,,,,,,,,6000,0,1000000
"to be destroyed, damaged",kwangirika,0,general,1,,,kw,,angirika,#NAME?,,,,,,,,,,6000,0,1000000
"to be hated, dislike, refused",kwangwa,0,general,1,,,kw,,angwa,#NAME?,,,,,,,,,,6000,0,1000000
"to put out in the sun, expose",kwanika,0,general,1,,,kw,,anika,#NAME?,,,,,,,,,,6000,0,1000000
to bring in from the sun,kwanura,0,general,1,,,kw,,anura,#NAME?,,,,,,,,,,6000,0,1000000
"to decide, conclude",kwanzura,0,general,1,,,kw,,anzura,#NAME?,,,,,,,,,,6000,0,1000000
to stay in the house after bei,kwarama,0,general,1,,,kw,,arama,#NAME?,,,,,,,,,,6000,0,1000000
"to mix water and flour, make p",kwarika,0,general,1,,,kw,,arika,#NAME?,,,,,,,,,,6000,0,1000000
to cut or chop firewood,kwasa,0,general,1,,,kw,,asa,#NAME?,,,,,,,,,,6000,0,1000000
to open one's mouth,kwasama,0,general,1,,,kw,,asama,#NAME?,,,,,,,,,,6000,0,1000000
"to start (an object), set fire",kwatsa,0,general,1,,,kw,,atsa,#NAME?,,,,,,,,,,6000,0,1000000
"to be started, be burned",kwatswa,0,general,1,,,kw,,atswa,#NAME?,,,,,,,,,,6000,0,1000000
to yawn,kwayura,0,general,1,,,kw,,ayura,#NAME?,,,,,,,,,,6000,0,1000000
"to be in pain, suffer, hurt",kubabara,0,general,1,,,ku,,babara,#NAME?,,,,,,,,,,6000,0,1000000
to forgive,kubabarira,0,general,1,,,ku,,babarira,#NAME?,,,,,,,,,,6000,0,1000000
to be forgiven,kubabarirwa,0,general,1,,,ku,,babarirwa,#NAME?,,,,,,,,,,6000,0,1000000
arise quickly,kubaduka,0,verb,1,,,ku,,baduka,badutse,,,,,arose quickly,arose quickly,,,,6000,0,1000000
"to butcher, operate on, remove",kubaga,0,general,1,,,ku,,baga,#NAME?,,,,,,,,,,6000,0,1000000
"to fight to the death, inflict",kubagana,0,general,1,,,ku,,bagana,#NAME?,,,,,,,,,,6000,0,1000000
to weed,kubagara,0,general,1,,,ku,,bagara,#NAME?,,,,,,,,,,6000,0,1000000
to be weeded,kubagarwa,0,general,1,,,ku,,bagarwa,#NAME?,,,,,,,,,,6000,0,1000000
be butchered,kubagwa,0,verb,1,,,ku,,bagwa,bazwe,,,,,was butchered,been butchered,,,,6000,0,1000000
"to stretch out to dry, crucify",kubamba,0,general,1,,,ku,,bamba,#NAME?,,,,,,,,,,6000,0,1000000
to remove a hide from the pegs,kubambura,0,general,1,,,ku,,bambura,#NAME?,,,,,,,,,,6000,0,1000000
to live together,kubana,0,general,1,,,ku,,bana,#NAME?,,,,,,,,,,6000,0,1000000
"to be parallel, facing the sam",kubangikanya,0,general,1,,,ku,,bangikanya,#NAME?,,,,,,,,,,6000,0,1000000
"to hurry, go quickly, rush",kubanguka,0,general,1,,,ku,,banguka,#NAME?,,,,,,,,,,6000,0,1000000
to begin by,kubanza,0,general,1,,,ku,,banza,#NAME?,,,,,,,,,,6000,0,1000000
to precede,kubanziriza,0,general,1,,,ku,,banziriza,#NAME?,,,,,,,,,,6000,0,1000000
to count,kubara,0,general,1,,,ku,,bara,#NAME?,,,,,,,,,,6000,0,1000000
to make statistics,kubarura,0,general,1,,,ku,,barura,#NAME?,,,,,,,,,,6000,0,1000000
to be counted,kubarwa,0,general,1,,,ku,,barwa,#NAME?,,,,,,,,,,6000,0,1000000
be capable,kubasha,0,verb,1,,,ku,,basha,bashije,,,,,was capable,been capable,able,,,6000,0,1000000
baptise,kubatiza,0,verb,1,,,ku,,batiza,batije,,,,,baptized,baptized,,,,6000,0,1000000
be baptised,kubatizwa,0,verb,1,,,ku,,batizwa,batijwe,,,,,was baptized,been baptized,,,,6000,0,1000000
inquire,kubaza,0,verb,1,,,ku,,baza,bajije,,,,,inquired,inquired,ask,,,6000,0,1000000
"to shine, gleam",kubengerana,0,general,1,,,ku,,bengerana,#NAME?,,,,,,,,,,6000,0,1000000
to be unjust,kubera,0,general,1,,,ku,,bera,#NAME?,,,,,,,,,,6000,0,1000000
"to tilt, slope",kuberama,0,general,1,,,ku,,berama,#NAME?,,,,,,,,,,6000,0,1000000
to pass after others have move,kuberekera,0,general,1,,,ku,,berekera,#NAME?,,,,,,,,,,6000,0,1000000
to move aside to allow passage,kuberereka,0,general,1,,,ku,,berereka,#NAME?,,,,,,,,,,6000,0,1000000
"to fit, be well fitting, be we",kuberwa,0,general,1,,,ku,,berwa,#NAME?,,,,,,,,,,6000,0,1000000
"to falsely accuse, lie about s",kubeshyera,0,general,1,,,ku,,beshyera,#NAME?,,,,,,,,,,6000,0,1000000
"to plant, sow",kubiba,0,general,1,,,ku,,biba,#NAME?,,,,,,,,,,6000,0,1000000
to crow,kubika,0,general,1,,,ku,,bika,#NAME?,,,,,,,,,,6000,0,1000000
to roll along,kubirindura,0,general,1,,,ku,,birindura,#NAME?,,,,,,,,,,6000,0,1000000
"to cross another's path, bypas",kubisikana,0,general,1,,,ku,,bisikana,#NAME?,,,,,,,,,,6000,0,1000000
to boil,kubiza,0,general,1,,,ku,,biza,#NAME?,,,,,,,,,,6000,0,1000000
"to be soft, wet",kubobera,0,general,1,,,ku,,bobera,#NAME?,,,,,,,,,,6000,0,1000000
"to make soft, wet",kubobeza,0,general,1,,,ku,,bobeza,#NAME?,,,,,,,,,,6000,0,1000000
"to bind, tie, weave, knit",kuboha,0,general,1,,,ku,,boha,#NAME?,,,,,,,,,,6000,0,1000000
"to braid, twist",kubohekanya,0,general,1,,,ku,,bohekanya,#NAME?,,,,,,,,,,6000,0,1000000
"to release, liberate",kubohora,0,general,1,,,ku,,bohora,#NAME?,,,,,,,,,,6000,0,1000000
"to see each other, find each o",kubonana,0,general,1,,,ku,,bonana,#NAME?,,,,,,,,,,6000,0,1000000
"to be visible, appear, show up",kuboneka,0,general,1,,,ku,,boneka,#NAME?,,,,,,,,,,6000,0,1000000
to see at (for the first time),kubonera,0,general,1,,,ku,,bonera,#NAME?,,,,,,,,,,6000,0,1000000
"to make clean, visible, pure",kuboneza,0,general,1,,,ku,,boneza,#NAME?,,,,,,,,,,6000,0,1000000
to be seen,kubonwa,0,general,1,,,ku,,bonwa,#NAME?,,,,,,,,,,6000,0,1000000
"to rot, decay",kubora,0,general,1,,,ku,,bora,#NAME?,,,,,,,,,,6000,0,1000000
"to howl, wail",kuboroga,0,general,1,,,ku,,boroga,#NAME?,,,,,,,,,,6000,0,1000000
to play the board game {igisor,kubuguza,0,general,1,,,ku,,buguza,#NAME?,,,,,,,,,,6000,0,1000000
"to make bricks, pottery, mould",kubumba,0,general,1,,,ku,,bumba,#NAME?,,,,,,,,,,6000,0,1000000
to make bricks for someone els,kubumbira,0,general,1,,,ku,,bumbira,#NAME?,,,,,,,,,,6000,0,1000000
to wander,kubunga,0,general,1,,,ku,,bunga,#NAME?,,,,,,,,,,6000,0,1000000
to return from wandering,kubunguka,0,general,1,,,ku,,bunguka,#NAME?,,,,,,,,,,6000,0,1000000
to go from place to place sell,kubunza,0,general,1,,,ku,,bunza,#NAME?,,,,,,,,,,6000,0,1000000
"to lack, lose, not find",kubura,0,general,1,,,ku,,bura,#NAME?,,,,,,,,,,6000,0,1000000
to defend oneself in response ,kuburana,0,general,1,,,ku,,burana,#NAME?,,,,,,,,,,6000,0,1000000
to lose something at,kuburira,0,general,1,,,ku,,burira,#NAME?,,,,,,,,,,6000,0,1000000
"to wander about, be a vagabond",kubuyera,0,general,1,,,ku,,buyera,#NAME?,,,,,,,,,,6000,0,1000000
to cause someone to wander abo,kubuyereza,0,general,1,,,ku,,buyereza,#NAME?,,,,,,,,,,6000,0,1000000
"to forbid, prevent, stop",kubuza,0,general,1,,,ku,,buza,#NAME?,,,,,,,,,,6000,0,1000000
to be forbidden,kubuzwa,0,general,1,,,ku,,buzwa,#NAME?,,,,,,,,,,6000,0,1000000
to give birth,kubwagura,0,general,1,,,ku,,bwagura,#NAME?,,,,,,,,,,6000,0,1000000
to be pregnant,kubwegeka,0,general,1,,,ku,,bwegeka,#NAME?,,,,,,,,,,6000,0,1000000
to tell,kubwira,0,general,1,,,ku,,bwira,#NAME?,,,,,,,,,,6000,0,1000000
"to preach, incite",kubwiriza,0,general,1,,,ku,,bwiriza,#NAME?,,,,,,,,,,6000,0,1000000
"to give birth, deliver",kubyara,0,general,1,,,ku,,byara,#NAME?,,,,,,,,,,6000,0,1000000
to cause to give birth,kubyaza,0,general,1,,,ku,,byaza,#NAME?,,,,,,,,,,6000,0,1000000
"to gain weight, become heavier",kubyibuha,0,general,1,,,ku,,byibuha,#NAME?,,,,,,,,,,6000,0,1000000
to be squashing someone with o,kubyiga,0,general,1,,,ku,,byiga,#NAME?,,,,,,,,,,6000,0,1000000
to swell,kubyimba,0,general,1,,,ku,,byimba,#NAME?,,,,,,,,,,6000,0,1000000
to dance,kubyina,0,general,1,,,ku,,byina,#NAME?,,,,,,,,,,6000,0,1000000
"to wake up, arise",kubyuka,0,general,1,,,ku,,byuka,#NAME?,,,,,,,,,,6000,0,1000000
to wake someone up,kubyutsa,0,general,1,,,ku,,byutsa,#NAME?,,,,,,,,,,6000,0,1000000
"to cut, tear",guca,0,general,1,,,gu,,ca,#NAME?,,,,,,,,,,6000,0,1000000
"to chop up, parse",gucagagura,0,general,1,,,gu,,cagagura,#NAME?,,,,,,,,,,6000,0,1000000
to be half filled,gucagata,0,general,1,,,gu,,cagata,#NAME?,,,,,,,,,,6000,0,1000000
"to switch on, ignite, light",gucana,0,general,1,,,gu,,cana,#NAME?,,,,,,,,,,6000,0,1000000
"to be switched on, ignited",gucanwa,0,general,1,,,gu,,canwa,#NAME?,,,,,,,,,,6000,0,1000000
to have something printed,gucapisha,0,general,1,,,gu,,capisha,#NAME?,,,,,,,,,,6000,0,1000000
"to be silent, quiet, stop talk",guceceka,0,general,1,,,gu,,ceceka,#NAME?,,,,,,,,,,6000,0,1000000
"to trick, dodge",gucenga,0,general,1,,,gu,,cenga,#NAME?,,,,,,,,,,6000,0,1000000
"to come to a place undetected,",gucengera,0,general,1,,,gu,,cengera,#NAME?,,,,,,,,,,6000,0,1000000
"to insert, cause to penetrate",gucengeza,0,general,1,,,gu,,cengeza,#NAME?,,,,,,,,,,6000,0,1000000
to be torn,gucika,0,general,1,,,gu,,cika,#NAME?,,,,,,,,,,6000,0,1000000
to have a child with your brot,gucikura,0,general,1,,,gu,,cikura,#NAME?,,,,,,,,,,6000,0,1000000
"to make an error, err, miscalc",gucikwa,0,general,1,,,gu,,cikwa,#NAME?,,,,,,,,,,6000,0,1000000
to spit,gucira,0,general,1,,,gu,,cira,#NAME?,,,,,,,,,,6000,0,1000000
bargain,guciririkanya,0,verb,1,,,gu,,ciririkanya,ciririkanije,,,,,bargained,bargained,negotiate price,,,6000,0,1000000
to be spat on,gucirwa,0,general,1,,,gu,,cirwa,#NAME?,,,,,,,,,,6000,0,1000000
"to be reduce, less, decreased",gucogora,0,general,1,,,gu,,cogora,#NAME?,,,,,,,,,,6000,0,1000000
"to reduce, lessen, decrease, w",gucogoza,0,general,1,,,gu,,cogoza,#NAME?,,,,,,,,,,6000,0,1000000
"to plug in, insert",gucomeka,0,general,1,,,gu,,comeka,#NAME?,,,,,,,,,,6000,0,1000000
"to unplug, remove",gucomekora,0,general,1,,,gu,,comekora,#NAME?,,,,,,,,,,6000,0,1000000
to mash,gucucuma,0,general,1,,,gu,,cucuma,#NAME?,,,,,,,,,,6000,0,1000000
to penetrate slightly,gucuga,0,general,1,,,gu,,cuga,#NAME?,,,,,,,,,,6000,0,1000000
to shake something to mix it,gucugusa,0,general,1,,,gu,,cugusa,#NAME?,,,,,,,,,,6000,0,1000000
"to dig a hole, mine",gucukura,0,general,1,,,gu,,cukura,#NAME?,,,,,,,,,,6000,0,1000000
to give off smoke,gucumba,0,general,1,,,gu,,cumba,#NAME?,,,,,,,,,,6000,0,1000000
"to stay temporarily, find lodg",gucumbika,0,general,1,,,gu,,cumbika,#NAME?,,,,,,,,,,6000,0,1000000
to give lodging to,gucumbikira,0,general,1,,,gu,,cumbikira,#NAME?,,,,,,,,,,6000,0,1000000
to leave a place of lodging,gucumbukura,0,general,1,,,gu,,cumbukura,#NAME?,,,,,,,,,,6000,0,1000000
"to penetrate, pierce",gucumita,0,general,1,,,gu,,cumita,#NAME?,,,,,,,,,,6000,0,1000000
to sin,gucumura,0,general,1,,,gu,,cumura,#NAME?,,,,,,,,,,6000,0,1000000
to separate {ikivuguto} into b,gucunda,0,general,1,,,gu,,cunda,#NAME?,,,,,,,,,,6000,0,1000000
to manage,gucunga,0,general,1,,,gu,,cunga,#NAME?,,,,,,,,,,6000,0,1000000
"to pay ransom, redeem",gucungura,0,general,1,,,gu,,cungura,#NAME?,,,,,,,,,,6000,0,1000000
to take all of something befor,gucura,0,general,1,,,gu,,cura,#NAME?,,,,,,,,,,6000,0,1000000
to play an instrument,gucuranga,0,general,1,,,gu,,curanga,#NAME?,,,,,,,,,,6000,0,1000000
to turn upside down,gucurika,0,general,1,,,gu,,curika,#NAME?,,,,,,,,,,6000,0,1000000
"to do business, trade",gucuruza,0,general,1,,,gu,,curuza,#NAME?,,,,,,,,,,6000,0,1000000
to be traded,gucuruzwa,0,general,1,,,gu,,curuzwa,#NAME?,,,,,,,,,,6000,0,1000000
to fade,gucuya,0,general,1,,,gu,,cuya,#NAME?,,,,,,,,,,6000,0,1000000
to change from night to day,gucya,0,general,1,,,gu,,cya,cyeye,,,,,,,,,,6000,0,1000000
to rebuke,gucyaha,0,general,1,,,gu,,cyaha,#NAME?,,,,,,,,,,6000,0,1000000
"to jest, poke fun at",gucyocyora,0,general,1,,,gu,,cyocyora,#NAME?,,,,,,,,,,6000,0,1000000
"to bring back, lead home",gucyura,0,general,1,,,gu,,cyura,#NAME?,,,,,,,,,,6000,0,1000000
to constantly remind someone o,gucyurira,0,general,1,,,gu,,cyurira,#NAME?,,,,,,,,,,6000,0,1000000
be brought back home,gucyurwa,0,verb,1,,,gu,,cyurwa,cyuwe,,,,,was brought back home,been brought back home,,,,6000,0,1000000
to decant,kudaha,0,general,1,,,ku,,daha,#NAME?,,,,,,,,,,6000,0,1000000
to not bury each other,gudahambana,0,general,1,,,gu,,dahambana,#NAME?,,,,,,,,,,6000,0,1000000
"to be faithful, not fail someo",gudahemuka,0,general,1,,,gu,,dahemuka,#NAME?,,,,,,,,,,6000,0,1000000
to not be tempted,gudakemwa,0,general,1,,,gu,,dakemwa,#NAME?,,,,,,,,,,6000,0,1000000
"to lack nothing, have luxury",kudamarara,0,general,1,,,ku,,damarara,#NAME?,,,,,,,,,,6000,0,1000000
"to not spend, not disperse",kudasesa,0,general,1,,,ku,,dasesa,dasheshe,,,,,,,,,,6000,0,1000000
to be lazy,kudeha,0,general,1,,,ku,,deha,#NAME?,,,,,,,,,,6000,0,1000000
to perform traditional dance,kudiha,0,general,1,,,ku,,diha,#NAME?,,,,,,,,,,6000,0,1000000
"to hinder, prevent another fro",kudindiza,0,general,1,,,ku,,dindiza,#NAME?,,,,,,,,,,6000,0,1000000
to sew,kudoda,0,general,1,,,ku,,doda,#NAME?,,,,,,,,,,6000,0,1000000
to be sewed,kudodwa,0,general,1,,,ku,,dodwa,#NAME?,,,,,,,,,,6000,0,1000000
"to well up, spring up (liquid)",kududubiza,0,general,1,,,ku,,dudubiza,#NAME?,,,,,,,,,,6000,0,1000000
to be leaning (as person),kwegama,0,general,1,,,kw,,egama,#NAME?,,,,,,,,,,6000,0,1000000
to lean against something (as ,kwegamira,0,general,1,,,kw,,egamira,#NAME?,,,,,,,,,,6000,0,1000000
to lean or place object agains,kwegeka,0,general,1,,,kw,,egeka,#NAME?,,,,,,,,,,6000,0,1000000
to bring together,kwegeranya,0,general,1,,,kw,,egeranya,#NAME?,,,,,,,,,,6000,0,1000000
to bring something to another,kwegereza,0,general,1,,,kw,,egereza,#NAME?,,,,,,,,,,6000,0,1000000
"to straighten up, become strai",kweguka,0,general,1,,,kw,,eguka,#NAME?,,,,,,,,,,6000,0,1000000
to keep something straight or ,kwegukira,0,general,1,,,kw,,egukira,#NAME?,,,,,,,,,,6000,0,1000000
"to give completely, without co",kwegurira,0,general,1,,,kw,,egurira,#NAME?,,,,,,,,,,6000,0,1000000
allow,kwemerera,0,general,1,,,kw,,emerera,emereye,,,,,allowed,allowed,,,,6000,0,1000000
"to commit adultery, fornicate",kwenda,0,general,1,,,kw,,enda,#NAME?,,,,,,,,,,6000,0,1000000
to brew beer,kwenga,0,general,1,,,kw,,enga,#NAME?,,,,,,,,,,6000,0,1000000
to be white,kwera,0,general,1,,,kw,,era,#NAME?,,,,,,,,,,6000,0,1000000
to show,kwereka,0,general,1,,,kw,,ereka,#NAME?,,,,,,,,,,6000,0,1000000
to show to each other,kwerekana,0,general,1,,,kw,,erekana,#NAME?,,,,,,,,,,6000,0,1000000
to turn toward,kwerekera,0,general,1,,,kw,,erekera,#NAME?,,,,,,,,,,6000,0,1000000
"to direct, cause to turn towar",kwerekeza,0,general,1,,,kw,,erekeza,#NAME?,,,,,,,,,,6000,0,1000000
"to be very white, very pure",kwererana,0,general,1,,,kw,,ererana,#NAME?,,,,,,,,,,6000,0,1000000
to expose the truth,kwerura,0,general,1,,,kw,,erura,#NAME?,,,,,,,,,,6000,0,1000000
to fulfil promise or agreement,kwesa,0,general,1,,,kw,,esa,#NAME?,,,,,,,,,,6000,0,1000000
to demonstrate that one has ke,kwesura,0,general,1,,,kw,,esura,#NAME?,,,,,,,,,,6000,0,1000000
"to make pure, purify, exonerat",kweza,0,general,1,,,kw,,eza,#NAME?,,,,,,,,,,6000,0,1000000
"to be made pure, purified, exo",kwezwa,0,general,1,,,kw,,ezwa,#NAME?,,,,,,,,,,6000,0,1000000
to support,gufana,0,general,1,,,gu,,fana,#NAME?,,,,,,,,,,6000,0,1000000
"to help, assist",gufasha,0,general,1,,,gu,,fasha,#NAME?,,,,,,,,,,6000,0,1000000
"to help, assist by giving",gufashisha,0,general,1,,,gu,,fashisha,#NAME?,,,,,,,,,,6000,0,1000000
"to be helped, assisted",gufashwa,0,general,1,,,gu,,fashwa,#NAME?,,,,,,,,,,6000,0,1000000
"to cooperate, share, partner, ",gufatanya,0,general,1,,,gu,,fatanya,#NAME?,,,,,,,,,,6000,0,1000000
"to encode, encrypt, hide",gufinda,0,general,1,,,gu,,finda,#NAME?,,,,,,,,,,6000,0,1000000
"to decode, uncover, decrypt, u",gufindura,0,general,1,,,gu,,findura,#NAME?,,,,,,,,,,6000,0,1000000
